Id,Name,Description,Difficulty,Duration,Family,Mana,School,Speed,TargetEffect,TargetMask,Unknown1,Unknown2,Unknown3
1,Strength Other I,Increases the target's Strength by 10 points.,1,1800,1,10,Creature Enchantment,0,6,16,5,1,1
2,Strength Self I,Increases the caster's Strength by 10 points.,1,1800,1,15,Creature Enchantment,0.01,6,16,0,0,1
17,Invulnerability Other I,Increases the target's Melee Defense skill by 10 points.,1,1800,37,10,Creature Enchantment,0.01,22,16,5,1,1
18,Invulnerability Self I,Increases the caster's Melee Defense skill by 10 points.,1,1800,37,15,Creature Enchantment,0,22,16,0,0,1
19,Fire Protection Other I,Reduces damage the target takes from fire by 9%.,1,1800,109,10,Life Magic,0.01,43,16,5,1,0
20,Fire Protection Self I,Reduces damage the caster takes from Fire by 9%.,1,1800,109,15,Life Magic,0.01,43,16,0,0,0
23,Armor Other I,Increases the target's natural armor by 20 points.,1,1800,115,10,Life Magic,0.01,55,16,5,1,1
24,Armor Self I,Increases the caster's natural armor by 20 points.,1,1800,115,15,Life Magic,0,55,16,0,0,1
35,Blood Drinker I,Increases a weapon's damage value by 2 points.,1,1800,154,10,Item Enchantment,0,57,257,25,0,1
37,Blade Bane I,Increases a shield or piece of armor's resistance to slashing damage by 10%. Target yourself to cast this spell on all of your equipped armor.,1,1800,174,10,Item Enchantment,0.01,61,6,25,0,1
49,Swift Killer I,Improves a weapon's speed by 10 points.,1,1800,158,10,Item Enchantment,0,63,257,25,0,1
51,Impenetrability I,Improves a shield or piece of armor's armor value by 20 points. Target yourself to cast this spell on all of your equipped armor.,1,1800,160,10,Item Enchantment,0,142,6,25,0,1
53,Rejuvenation Other I,Increases the rate at which the target regains Stamina by 10%.,1,1800,95,10,Life Magic,0,41,16,5,1,1
54,Rejuvenation Self I,Increases the rate at which the caster regains Stamina by 10%.,1,1800,95,15,Life Magic,0.01,41,16,0,0,1
159,Regeneration Other I,Increase target's natural healing rate by 10%.,1,1800,93,10,Life Magic,0.01,37,16,5,1,1
160,Regeneration Other II,Increase target's natural healing rate by 25%.,50,1800,93,20,Life Magic,0.05,37,16,5,0.85,1
161,Regeneration Other III,Increase target's natural healing rate by 40%.,100,1800,93,30,Life Magic,0.1,37,16,5,0.7,1
162,Regeneration Other IV,Increase target's natural healing rate by 55%.,150,1800,93,40,Life Magic,0.15,37,16,5,0.55,1
163,Regeneration Other V,Increase target's natural healing rate by 70%.,200,1800,93,50,Life Magic,0.2,37,16,5,0.4,1
164,Regeneration Other VI,Increase target's natural healing rate by 85%.,250,2700,93,60,Life Magic,0.3,37,16,5,0.25,1
165,Regeneration Self I,Increase caster's natural healing rate by 10%.,1,1800,93,20,Life Magic,0.01,37,16,5,0,1
166,Regeneration Self II,Increase caster's natural healing rate by 25%.,50,1800,93,30,Life Magic,0.05,37,16,5,0.85,1
167,Regeneration Self III,Increase caster's natural healing rate by 40%.,100,1800,93,40,Life Magic,0.1,37,16,5,1,1
168,Regeneration Self IV,Increase caster's natural healing rate by 55%.,150,1800,93,50,Life Magic,0.15,37,16,5,1,1
169,Regeneration Self V,Increase caster's natural healing rate by 70%.,200,1800,93,60,Life Magic,0.2,37,16,5,1,1
170,Regeneration Self VI,Increase caster's natural healing rate by 85%.,250,2700,93,70,Life Magic,0.3,37,16,5,1,1
184,Rejuvenation Other II,Increases the rate at which the target regains Stamina by 25%.,50,1800,95,20,Life Magic,0.05,41,16,5,0.85,1
185,Rejuvenation Other III,Increases the rate at which the target regains Stamina by 40%.,100,1800,95,30,Life Magic,0.1,41,16,5,0.7,1
186,Rejuvenation Other IV,Increases the rate at which the target regains Stamina by 55%.,150,1800,95,40,Life Magic,0.15,41,16,5,0.55,1
187,Rejuvenation Other V,Increases the rate at which the target regains Stamina by 70%.,200,1800,95,50,Life Magic,0.2,41,16,5,0.4,1
188,Rejuvenation Other VI,Increases the rate at which the target regains Stamina by 85%.,250,2700,95,60,Life Magic,0.3,41,16,5,0.25,1
189,Rejuvenation Self II,Increases the rate at which the caster regains Stamina by 25%.,50,1800,95,30,Life Magic,0.05,41,16,0,0,1
190,Rejuvenation Self III,Increases the rate at which the caster regains Stamina by 40%.,100,1800,95,40,Life Magic,0.1,41,16,0,0,1
191,Rejuvenation Self IV,Increases the rate at which the caster regains Stamina by 55%.,150,1800,95,50,Life Magic,0.15,41,16,0,0,1
192,Rejuvenation Self V,Increases the rate at which the caster regains Stamina by 70%.,200,1800,95,60,Life Magic,0.2,41,16,0,0,1
193,Rejuvenation Self VI,Increases the rate at which the caster regains Stamina by 85%.,250,2700,95,70,Life Magic,0.3,41,16,0,0,1
206,Mana Renewal Other I,Increases the target's natural mana rate by 10%.,1,1800,97,10,Life Magic,0.01,39,16,5,1,1
207,Mana Renewal Other II,Increases the target's natural mana rate by 25%.,50,1800,97,20,Life Magic,0.05,39,16,5,0.85,1
208,Mana Renewal Other III,Increases the target's natural mana rate by 40%.,100,1800,97,30,Life Magic,0.1,39,16,5,0.7,1
209,Mana Renewal Other IV,Increases the target's natural mana rate by 55%.,150,1800,97,40,Life Magic,0.15,39,16,5,0.55,1
210,Mana Renewal Other V,Increases the target's natural mana rate by 70%.,200,1800,97,50,Life Magic,0.2,39,16,5,0.4,1
211,Mana Renewal Other VI,Increases the target's natural mana rate by 85%.,250,2700,97,60,Life Magic,0.3,39,16,5,0.25,1
212,Mana Renewal Self I,Increases the caster's natural mana rate by 10%.,25,1800,97,20,Life Magic,0.01,39,16,0,0,1
213,Mana Renewal Self II,Increases the caster's natural mana rate by 25%.,50,1800,97,30,Life Magic,0.05,39,16,0,0,1
214,Mana Renewal Self III,Increases the caster's natural mana rate by 40%.,100,1800,97,40,Life Magic,0.1,39,16,0,0,1
215,Mana Renewal Self IV,Increases the caster's natural mana rate by 55%.,150,1800,97,50,Life Magic,0.15,39,16,0,0,1
216,Mana Renewal Self V,Increases the caster's natural mana rate by 70%.,200,1800,97,60,Life Magic,0.2,39,16,0,0,1
217,Mana Renewal Self VI,Increases the caster's natural mana rate by 85%.,250,2700,97,70,Life Magic,0.3,39,16,0,0,1
240,Invulnerability Other II,Increases the target's Melee Defense skill by 15 points.,50,1800,37,20,Creature Enchantment,0.05,22,16,5,0.85,1
241,Invulnerability Other III,Increases the target's Melee Defense skill by 20 points.,100,1800,37,30,Creature Enchantment,0.1,22,16,5,0.7,1
