Id,Name,Description,Difficulty,Duration,Family,Mana,School,Speed,TargetEffect,TargetMask,Unknown1,Unknown2,Unknown3
1,Strength Other I,Increases the target's Strength by 10 points.,1,1800,1,10,Creature Enchantment,0,6,16,5,1,1
2,Strength Self I,Increases the caster's Strength by 10 points.,1,1800,1,15,Creature Enchantment,0.01,6,16,0,0,1
3,Weakness Other I,Decreases the target's Strength by 10 points.,1,60,2,10,Creature Enchantment,0.01,7,16,5,1,1
4,Weakness Self I,Decrease the caster's Strength by 10 points.,15,60,2,15,Creature Enchantment,0.01,7,16,0,0,1
5,Heal Other I,Restores 10-25 points of the target's Health.,1,-1,79,10,Life Magic,0,31,16,5,1,1
6,Heal Self I,Restores 10-25 points of the caster's Health.,1,-1,67,15,Life Magic,0.01,31,16,0,0,1
7,Harm Other I,Drains 4-6 points of the target's Health.,1,-1,80,10,Life Magic,0.01,32,16,10,0,1
8,Harm Self I,Drains 4-6 points of the caster's Health.,15,-1,80,15,Life Magic,0.01,32,16,0,0,1
9,Infuse Mana Other I,Drains one-quarter of the caster's Mana and gives 75% of that to the target.,1,-1,92,10,Life Magic,0.1,33,16,5,0.5,0
15,Vulnerability Other I,Decrease the target's Melee Defense skill by 10 points.,1,60,38,10,Creature Enchantment,0.01,23,16,0,1,1
16,Vulnerability Self I,Decrease the target's Melee Defense skill by 10 points.,1,60,38,15,Creature Enchantment,0.01,23,16,0,0,1
17,Invulnerability Other I,Increases the target's Melee Defense skill by 10 points.,1,1800,37,10,Creature Enchantment,0.01,22,16,5,1,1
18,Invulnerability Self I,Increases the caster's Melee Defense skill by 10 points.,1,1800,37,15,Creature Enchantment,0,22,16,0,0,1
19,Fire Protection Other I,Reduces damage the target takes from fire by 9%.,1,1800,109,10,Life Magic,0.01,43,16,5,1,0
20,Fire Protection Self I,Reduces damage the caster takes from Fire by 9%.,1,1800,109,15,Life Magic,0.01,43,16,0,0,0
21,Fire Vulnerability Other I,Increases damage the target takes from Fire by 10%.,25,60,110,10,Life Magic,0.01,44,16,5,1,1
22,Fire Vulnerability Self I,Increases damage the caster takes from Fire by 10%.,25,60,110,15,Life Magic,0.01,44,16,0,0,1
23,Armor Other I,Increases the target's natural armor by 20 points.,1,1800,115,10,Life Magic,0.01,55,16,5,1,1
24,Armor Self I,Increases the caster's natural armor by 20 points.,1,1800,115,15,Life Magic,0,55,16,0,0,1
25,Imperil Other I,Decreases the target's natural armor by 20 points.,25,60,116,10,Life Magic,0.01,56,16,5,1,1
26,Imperil Self I,Decreases the caster's natural armor by 20 points.,25,60,116,20,Life Magic,0.01,56,16,0,0,1
27,Flame Bolt I,Shoots a bolt of flame at the target.  The bolt does 16-31 points of fire damage to the first thing it hits.,1,-1,121,5,War Magic,0,0,16,30,0.7,1
28,Frost Bolt I,Shoots a bolt of frost at the target. The bolt does 16-31 points of cold damage to the first thing it hits.,1,-1,119,5,War Magic,0.01,0,16,30,0.7,1
35,Aura of Blood Drinker Self I,Increases a weapon's damage value by 2 points.,1,1800,154,10,Item Enchantment,0,57,16,25,0,1
36,Blood Loather I,Decreases a weapon's damage value by 2 points.,25,60,155,10,Item Enchantment,0.05,58,257,25,0,1
37,Blade Bane I,Increases a shield or piece of armor's resistance to slashing damage by 10%. Target yourself to cast this spell on all of your equipped armor.,1,1800,174,10,Item Enchantment,0.01,61,6,25,0,1
38,Blade Lure I,Decreases a shield or piece of armor's resistance to slashing damage by 10%.,25,60,175,10,Item Enchantment,0.01,62,6,25,0,1
47,Primary Portal Tie,Links the caster to a targeted portal.,150,-1,200,50,Item Enchantment,0.25,17,65536,30,0,1
48,Primary Portal Recall,Transports the caster to the destination of the portal last successfully linked to with Primary Portal Tie.,100,-1,201,50,Item Enchantment,0.25,0,65536,0,0,1
49,Aura of Swift Killer Self I,Improves a weapon's speed by 10 points.,1,1800,158,10,Item Enchantment,0,63,16,25,0,1
50,Leaden Weapon I,Worsens a weapon's speed by 10 points.,25,60,159,10,Item Enchantment,0.01,64,257,25,0,1
51,Impenetrability I,Improves a shield or piece of armor's armor value by 20 points. Target yourself to cast this spell on all of your equipped armor.,1,1800,160,10,Item Enchantment,0,142,6,25,0,1
53,Rejuvenation Other I,Increases the rate at which the target regains Stamina by 10%.,1,1800,95,10,Life Magic,0,41,16,5,1,1
54,Rejuvenation Self I,Increases the rate at which the caster regains Stamina by 10%.,1,1800,95,15,Life Magic,0.01,41,16,0,0,1
57,Magic Bolt,Shoots a bolt of force at the target. The bolt does 8-16 points of piercing damage to the first thing it hits.,1,-1,122,10,War Magic,0,0,16,30,0.7,1
58,Acid Stream I,Shoots a stream of acid at the target. The stream does 16-31 points of acid damage to the first thing it hits.,1,-1,117,5,War Magic,0.01,0,16,30,0.7,1
59,Acid Stream II,Shoots a stream of acid at the target. The stream does 26-52 points of acid damage to the first thing it hits.,50,-1,117,10,War Magic,0.05,0,16,30,0.6,1
60,Acid Stream III,Shoots a stream of acid at the target. The stream does 42-84 points of acid damage to the first thing it hits.,100,-1,117,15,War Magic,0.1,0,16,30,0.5,1
61,Acid Stream IV,Shoots a stream of acid at the target. The stream does 52-105 points of acid damage to the first thing it hits.,150,-1,117,20,War Magic,0.15,0,16,30,0.4,1
62,Acid Stream V,Shoots a stream of acid at the target. The stream does 68-136 points of acid damage to the first thing it hits.,200,-1,117,25,War Magic,0.2,0,16,30,0.3,1
63,Acid Stream VI,Shoots a stream of acid at the target. The stream does 84-168 points of acid damage to the first thing it hits.,250,-1,117,30,War Magic,0.3,0,16,30,0.2,1
64,Shock Wave I,Shoots a shock wave at the target. The wave does 16-31 points of bludgeoning damage to the first thing it hits.,1,-1,118,5,War Magic,0.01,0,16,30,0.7,1
65,Shock Wave II,Shoots a shock wave at the target. The wave does 26-52 points of bludgeoning damage to the first thing it hits.,50,-1,118,10,War Magic,0.05,0,16,30,0.6,1
66,Shock Wave III,Shoots a shock wave at the target. The wave does 42-84 points of bludgeoning damage to the first thing it hits.,100,-1,118,15,War Magic,0.1,0,16,30,0.5,1
67,Shock Wave IV,Shoots a shock wave at the target. The wave does 52-105 points of bludgeoning damage to the first thing it hits.,150,-1,118,20,War Magic,0.15,0,16,30,0.4,1
68,Shock Wave V,Shoots a shock wave at the target. The wave does 68-136 points of bludgeoning damage to the first thing it hits.,200,-1,118,25,War Magic,0.2,0,16,30,0.3,1
